Time,Open,High,Low,Last,Change,%Chg,Volume,Difference
01-Jul-19,11839.9,11884.65,11830.8,11865.6,76.75,0.65%,0,
02-Jul-19,11890.3,11917.45,11814.7,11910.3,44.7,0.38%,0,0.207732353
03-Jul-19,11932.15,11945.2,11887.05,11916.75,6.45,0.05%,0,0.183118717
04-Jul-19,11928.8,11969.25,11923.65,11946.75,30,0.25%,0,0.101016028
05-Jul-19,11964.75,11981.75,11797.9,11811.15,-135.6,-1.14%,0,0.150441923
08-Jul-19,11770.4,11771.9,11523.3,11558.6,-252.55,-2.14%,0,-0.346207436
09-Jul-19,11531.6,11582.55,11461,11555.9,-2.7,-0.02%,0,-0.234139235
10-Jul-19,11536.15,11593.7,11475.65,11498.9,-57,-0.49%,0,-0.171200964
11-Jul-19,11561.45,11599,11519.5,11582.9,84,0.73%,0,0.541022104
12-Jul-19,11601.15,11639.55,11538.6,11552.5,-30.4,-0.26%,0,0.157311991
15-Jul-19,11614.75,11618.4,11532.3,11588.35,35.85,0.31%,0,0.535956435
16-Jul-19,11596.65,11670.05,11573.95,11662.6,74.25,0.64%,0,0.071572394
17-Jul-19,11670.75,11706.65,11651.15,11687.5,24.9,0.21%,0,0.069832701
18-Jul-19,11675.6,11677.15,11582.4,11596.9,-90.6,-0.78%,0,-0.101921957
19-Jul-19,11627.95,11640.35,11399.3,11419.25,-177.65,-1.53%,0,0.267029012
22-Jul-19,11392.85,11398.15,11301.25,11346.2,-73.05,-0.64%,0,-0.231724283
23-Jul-19,11372.25,11398.15,11302.8,11331.05,-15.15,-0.13%,0,0.229066368
24-Jul-19,11322.45,11359.75,11229.8,11271.3,-59.75,-0.53%,0,-0.075955292
25-Jul-19,11290.4,11361.4,11239.35,11252.15,-19.15,-0.17%,0,0.169170269
26-Jul-19,11247.45,11307.6,11210.05,11284.3,32.15,0.29%,0,-0.04178725
29-Jul-19,11307.5,11310.95,11152.4,11189.2,-95.1,-0.84%,0,0.205173557
30-Jul-19,11213.7,11267.45,11072.65,11085.4,-103.8,-0.93%,0,0.218482749
31-Jul-19,11034.05,11145.3,10999.4,11118,32.6,0.29%,0,-0.465377627
01-Aug-19,11060.2,11076.75,10881,10980,-138,-1.24%,0,-0.522594528
02-Aug-19,10930.3,11080.15,10848.95,10997.35,17.35,0.16%,0,-0.454699322
05-Aug-19,10895.8,10895.8,10782.6,10862.6,-134.75,-1.23%,0,-0.932010499
06-Aug-19,10815.4,11018.55,10813.8,10948.25,85.65,0.79%,0,-0.436414742
07-Aug-19,10958.1,10975.65,10835.9,10855.5,-92.75,-0.85%,0,0.089887846
08-Aug-19,10899.2,11058.05,10842.95,11032.45,176.95,1.63%,0,0.400946858
